294	RAHIMTEXT	100	102.5	100	101.2	101	-1	34	0.4970	4,921
295	RUPALIINS	19.7	20	19.6	19.7	19.7	0	39	0.4880	24,747
296	ZAHEENSPIN	5.8	5.9	5.7	5.8	5.8	0	42	0.4860	83,422
297	DESCO	22.3	22.8	22.1	22.3	22	0.3	55	0.4840	21,682
298	SAIHAMTEX	12.5	12.9	12.4	12.5	12.6	-0.1	53	0.4750	37,895
299	ACIFORMULA	120.8	125.9	120.1	120.8	123	-2.2	77	0.4700	3,887
300	PHOENIXFIN	3.6	3.7	3.5	3.6	3.6	0	28	0.4680	130,518
301	DHAKAINS	33.7	34.3	33.4	33.6	33.5	0.2	53	0.4610	13,690
302	NITOLINS	23	23.5	22.6	23	22.7	0.3	22	0.4500	19,544
303	ACTIVEFINE	8.2	8.5	8.2	8.2	8.3	-0.1	43	0.4400	53,257
304	MIRACLEIND	24.1	24.7	23.6	23.8	24.2	-0.1	95	0.4260	17,845
305	BDWELDING	9.1	9.5	9.1	9.2	9.3	-0.2	35	0.4140	45,131
306	IFILISLMF1	4.2	4.3	4.2	4.2	4.3	-0.1	29	0.4050	95,141
307	VAMLRBBF	5.9	5.9	5.7	5.8	5.8	0.1	36	0.4040	70,500
308	GBBPOWER	7.4	7.5	7.3	7.4	7.4	0	33	0.4030	54,365
309	OAL	7	7.1	6.9	6.9	7	0	48	0.4020	58,103
310	PDL	5.9	6	5.8	5.9	5.9	0	37	0.3990	67,729
311	BDAUTOCA	82.8	87	80.1	82.8	86.8	-4	54	0.3980	4,758
312	AMCL(PRAN)	201.3	206.4	201.1	201.3	201.5	-0.2	34	0.3960	1,964
313	MLDYEING	8.1	8.3	8.1	8.1	8.2	-0.1	41	0.3880	47,491
314	YPL	10.2	10.5	10.2	10.2	10.4	-0.2	42	0.3790	36,961
315	APEXFOODS	173.1	184.8	171.1	173.1	176.1	-3	103	0.3710	2,135
316	AZIZPIPES	44.6	44.8	44	44.4	44.5	0.1	80	0.3660	8,251
317	GSPFINANCE	4.7	4.8	4.6	4.6	4.7	0	43	0.3610	77,310
318	MAKSONSPIN	5.7	5.8	5.5	5.7	5.6	0.1	56	0.3460	61,278
